metric,model,mean_delta,ci_lower,ci_upper,n_worlds
severity,ExtraTrees,0.0,0.0,0.0,10
severity,GaussianNB,0.0,0.0,0.0,10
severity,GradientBoosting,0.0,0.0,0.0,10
severity,Logistic_L2,0.0,0.0,0.0,10
severity,MLP,0.0,0.0,0.0,10
severity,RandomForest,0.0,0.0,0.0,10
severity,SVC_RBF,0.0,0.0,0.0,10
AUROC_mean,ExtraTrees,0.28690547123126775,0.21744998427987478,0.3248026251666066,10
AUROC_mean,GaussianNB,0.04119091618367308,0.010510810127288005,0.0631054520279329,10
AUROC_mean,GradientBoosting,0.2294483923073643,0.14116793505440878,0.30675727336707576,10
AUROC_mean,Logistic_L2,0.2886311390559168,0.19710770259294735,0.3790962192812605,10
AUROC_mean,MLP,0.22519839628369595,0.1676144819943376,0.26240772356249226,10
AUROC_mean,RandomForest,0.18808417225041885,0.11874209994767591,0.2262261659529982,10
AUROC_mean,SVC_RBF,0.17090391178678296,0.02869921944547897,0.26393097536145627,10
AUROC_ci_lo,ExtraTrees,0.3203652794922189,0.2514585217743892,0.3577589495008988,10
AUROC_ci_lo,GaussianNB,0.0690771605478783,0.040577675718072276,0.08982156375171013,10
AUROC_ci_lo,GradientBoosting,0.26367279889943224,0.17713321442837748,0.33815374706521034,10
AUROC_ci_lo,Logistic_L2,0.306464367492269,0.21656328689244037,0.3998422491885744,10
AUROC_ci_lo,MLP,0.25670976907583803,0.20185966181265957,0.2875377656971917,10
AUROC_ci_lo,RandomForest,0.21943999364038308,0.15205032404826632,0.2551635035899097,10
AUROC_ci_lo,SVC_RBF,0.18870302977975922,0.024489290953479913,0.2910106255463267,10
AUROC_ci_hi,ExtraTrees,0.25408146143859195,0.18433121054483714,0.29210489383244137,10
AUROC_ci_hi,GaussianNB,0.014184736948224108,-0.018267854794303342,0.03693688046088463,10
AUROC_ci_hi,GradientBoosting,0.19665604209021756,0.10726979196628664,0.2751171634006612,10
AUROC_ci_hi,Logistic_L2,0.2679918832761089,0.1762470593314441,0.3549573562804551,10
AUROC_ci_hi,MLP,0.19880039428091595,0.13870563051694865,0.24087860151888493,10
AUROC_ci_hi,RandomForest,0.15639677115651332,0.0844686668493258,0.19763686207124995,10
AUROC_ci_hi,SVC_RBF,0.1554159934016856,0.04291779542832752,0.23697894577446327,10
Brier_mean,ExtraTrees,-0.19059487490149674,-0.2215856855997644,-0.1451044139288633,10
Brier_mean,GaussianNB,0.28482165931290665,0.23782405175763469,0.32315883007795465,10
Brier_mean,GradientBoosting,-0.1848446278310604,-0.2259970935136366,-0.13380637515881336,10
Brier_mean,Logistic_L2,-0.226840408253531,-0.25945231791381845,-0.181496868118878,10
Brier_mean,MLP,-0.2656870548585025,-0.30741901021808643,-0.2144220962029453,10
Brier_mean,RandomForest,-0.1651525430933034,-0.1977891761803446,-0.11817961963935728,10
Brier_mean,SVC_RBF,-0.1783088237083871,-0.21526074408045598,-0.13516588687986286,10
Brier_ci_lo,ExtraTrees,-0.1814535022890879,-0.21203724939038068,-0.1362083987354719,10
Brier_ci_lo,GaussianNB,0.3113208947644477,0.26330239941382044,0.3522660428633474,10
Brier_ci_lo,GradientBoosting,-0.1739370460143111,-0.20408709949187848,-0.1360946953033168,10
Brier_ci_lo,Logistic_L2,-0.21372961274237556,-0.2473268171232762,-0.16797720518085144,10
Brier_ci_lo,MLP,-0.24284521426097466,-0.2875244392212426,-0.1875021472669431,10
Brier_ci_lo,RandomForest,-0.15751423429496705,-0.19044471239775118,-0.11057309627317076,10
Brier_ci_lo,SVC_RBF,-0.17411462503819938,-0.2088371601519588,-0.1335378494978281,10
Brier_ci_hi,ExtraTrees,-0.19970709978031068,-0.23115369331162422,-0.1536775967103315,10
Brier_ci_hi,GaussianNB,0.2569461213765781,0.2088104281178443,0.29379879362023653,10
Brier_ci_hi,GradientBoosting,-0.1947036103592094,-0.24887148480056304,-0.12044138397772552,10
Brier_ci_hi,Logistic_L2,-0.23945932094664962,-0.2713649379765025,-0.19470554827622472,10
Brier_ci_hi,MLP,-0.28885971958991596,-0.32614711131273405,-0.24228963249502228,10
Brier_ci_hi,RandomForest,-0.17301452844428422,-0.2053601462714505,-0.12623493343245598,10
Brier_ci_hi,SVC_RBF,-0.18260475857783764,-0.22146431937056837,-0.13775162174506364,10
LogLoss_mean,ExtraTrees,-0.46710514674638726,-0.6043493559143209,-0.26943027881323395,10
LogLoss_mean,GaussianNB,5.426400577678466,4.706692084870519,6.006505698380998,10
LogLoss_mean,GradientBoosting,-0.582303342953902,-0.7644032452551556,-0.3760198475312602,10
LogLoss_mean,Logistic_L2,-0.8698245020299524,-1.5065746071995243,-0.43767456634499896,10
LogLoss_mean,MLP,-0.8900737732330363,-1.3210498778803708,-0.3422719464566549,10
LogLoss_mean,RandomForest,-0.40923847030878324,-0.5468022737945456,-0.20833861517000116,10
LogLoss_mean,SVC_RBF,-0.4410254332091192,-0.5872668360759513,-0.28158651332800155,10
LogLoss_ci_lo,ExtraTrees,-0.4499667515708392,-0.582760837057071,-0.2561668850630124,10
LogLoss_ci_lo,GaussianNB,6.057630458748345,5.313977188682601,6.644871218063672,10
LogLoss_ci_lo,GradientBoosting,-0.5219652861152089,-0.6653186968531919,-0.36593980406736965,10
LogLoss_ci_lo,Logistic_L2,-0.8004027956531609,-1.364839791572035,-0.4094791891266532,10
LogLoss_ci_lo,MLP,-0.7302443947012949,-1.1282482383575518,-0.2181262075227114,10
LogLoss_ci_lo,RandomForest,-0.3963237692038774,-0.5315855998173802,-0.19922041595753104,10
LogLoss_ci_lo,SVC_RBF,-0.4351975847889097,-0.5739427674429354,-0.28236930527612664,10
LogLoss_ci_hi,ExtraTrees,-0.48440468692753,-0.6255793531558739,-0.28312913868901907,10
LogLoss_ci_hi,GaussianNB,4.833997771390887,4.134264225092015,5.400855772190408,10
LogLoss_ci_hi,GradientBoosting,-0.6441749039337213,-0.8660618562766746,-0.36663460012993515,10
LogLoss_ci_hi,Logistic_L2,-0.9356487828455636,-1.637348485075451,-0.4681281036869424,10
LogLoss_ci_hi,MLP,-1.078274002677332,-1.553112881363711,-0.49216738074889477,10
LogLoss_ci_hi,RandomForest,-0.42271114572908763,-0.5628363616299579,-0.21781480506889364,10
LogLoss_ci_hi,SVC_RBF,-0.4473235830982487,-0.6001256297641133,-0.2813506399873611,10
ECE_mean,ExtraTrees,-0.10879731147215514,-0.13997506304998727,-0.06296695836850853,10
ECE_mean,GaussianNB,0.27873610187503933,0.23100359836576917,0.31762901308749497,10
ECE_mean,GradientBoosting,-0.17898390252018628,-0.23222764217663563,-0.10925830540675448,10
ECE_mean,Logistic_L2,-0.21479950143413173,-0.24884845067043573,-0.1690353148614145,10
ECE_mean,MLP,-0.2784354279239841,-0.32108296958973537,-0.22593898181586136,10
ECE_mean,RandomForest,-0.10959724087009053,-0.14605321670395047,-0.06182135511837741,10
ECE_mean,SVC_RBF,-0.04992636430558249,-0.1168892159906804,0.044879260904107196,10
ECE_ci_lo,ExtraTrees,-0.08782036746334006,-0.11942716418614051,-0.0405102242726754,10
ECE_ci_lo,GaussianNB,0.30486090816387007,0.2566047488290176,0.34619110536526143,10
ECE_ci_lo,GradientBoosting,-0.16399681092433122,-0.20649856980098322,-0.11274011062587347,10
