metric,world,mean_delta,ci_lower,ci_upper,n_models
severity,WA_clean,0.0,0.0,0.0,7
severity,WB_noise_outliers,0.0,0.0,0.0,7
severity,WC_missingness,0.0,0.0,0.0,7
severity,WD_shift,0.0,0.0,0.0,7
severity,WE_surrogate_corrupt,0.0,0.0,0.0,7
severity,WF_nonlinear,0.0,0.0,0.0,7
severity,WG_label_noise,0.0,0.0,0.0,7
severity,WH_subgroup_shift,0.0,0.0,0.0,7
severity,WI_prevalence_shift,0.0,0.0,0.0,7
severity,WJ_concept_drift,0.0,0.0,0.0,7
AUROC_mean,WA_clean,0.24393031468290755,0.17854289862723735,0.2940073846232276,7
AUROC_mean,WB_noise_outliers,0.23309608505945517,0.17109303635827428,0.2815571700326001,7
AUROC_mean,WC_missingness,0.24674644939045592,0.18421803880264637,0.2946973361807722,7
AUROC_mean,WD_shift,0.22999529360138032,0.16735404387962163,0.2764177939104572,7
AUROC_mean,WE_surrogate_corrupt,0.22647500364107612,0.15745474977226775,0.2779009551830503,7
AUROC_mean,WF_nonlinear,0.20043835706674548,-0.027340625099113693,0.401317120372942,7
AUROC_mean,WG_label_noise,-0.04510736711141894,-0.07747525686545952,-0.01714555044481663,7
AUROC_mean,WH_subgroup_shift,0.232673875871496,0.17206806168899558,0.2795807419568873,7
AUROC_mean,WI_prevalence_shift,0.23274995682212052,0.17414647841592268,0.2787503732949158,7
AUROC_mean,WJ_concept_drift,0.24237688683166692,0.17752065203823028,0.2931616809392326,7
AUROC_ci_lo,WA_clean,0.27268409715577585,0.20646413240387837,0.3227803263569085,7
AUROC_ci_lo,WB_noise_outliers,0.2608284901203281,0.1989571898784875,0.30788858164522726,7
AUROC_ci_lo,WC_missingness,0.2731873598137449,0.21022682691842262,0.3205959307108116,7
AUROC_ci_lo,WD_shift,0.257610716622468,0.1955089364252553,0.3021293231401881,7
AUROC_ci_lo,WE_surrogate_corrupt,0.24849302099006643,0.18050475642661112,0.3043927529391896,7
AUROC_ci_lo,WF_nonlinear,0.2221942116363324,-0.030812332973722385,0.43879286431464326,7
AUROC_ci_lo,WG_label_noise,-0.014377127505658662,-0.044388893453606214,0.011555518816038364,7
AUROC_ci_lo,WH_subgroup_shift,0.2577881505783764,0.19700001422789754,0.30419005404332056,7
AUROC_ci_lo,WI_prevalence_shift,0.270429239071922,0.20822374563446752,0.3179932528492565,7
AUROC_ci_lo,WJ_concept_drift,0.27177955427061434,0.2055465954551803,0.32203657810473413,7
AUROC_ci_hi,WA_clean,0.21496366662576508,0.1488528616170857,0.2660908948808555,7
AUROC_ci_hi,WB_noise_outliers,0.2077621529014649,0.1453814063665095,0.25758635440368005,7
AUROC_ci_hi,WC_missingness,0.21992543346782828,0.15701848744328067,0.268171959019833,7
AUROC_ci_hi,WD_shift,0.20261797698665054,0.14074406659841246,0.24901883406765948,7
AUROC_ci_hi,WE_surrogate_corrupt,0.20290755671174546,0.13362346660466737,0.2541098263991184,7
AUROC_ci_hi,WF_nonlinear,0.185155790880916,-0.018565832399592534,0.368571218745294,7
AUROC_ci_hi,WG_label_noise,-0.07485246243937058,-0.11086966941382324,-0.043697011369764595,7
AUROC_ci_hi,WH_subgroup_shift,0.20667486127141155,0.14587508490235987,0.25439584191551423,7
AUROC_ci_hi,WI_prevalence_shift,0.19696362253431018,0.14167484093961236,0.24023847498130582,7
AUROC_ci_hi,WJ_concept_drift,0.21434894761964643,0.14913706108065966,0.26529887188382356,7
Brier_mean,WA_clean,-0.16152902764497729,-0.26047013811239966,-0.0015484629169746666,7
Brier_mean,WB_noise_outliers,-0.16338311989793947,-0.2669362444224498,0.0006815541766484646,7
Brier_mean,WC_missingness,-0.16687585400495633,-0.26576017084588466,-0.00808332981094885,7
Brier_mean,WD_shift,-0.15479533698063028,-0.24843529439434017,0.003150504646677801,7
Brier_mean,WE_surrogate_corrupt,-0.15836927199742176,-0.25992855203321535,0.006986818106761658,7
Brier_mean,WF_nonlinear,-0.08874820457815921,-0.21511805404734116,0.08241012268421735,7
Brier_mean,WG_label_noise,-0.10190254603039686,-0.17790862610032832,0.013988066732100322,7
Brier_mean,WH_subgroup_shift,-0.15593760067572962,-0.25153997937864425,0.003259701537725368,7
Brier_mean,WI_prevalence_shift,-0.012893014158249458,-0.05620342019742459,0.03654017315577688,7
Brier_mean,WJ_concept_drift,-0.15928984307921756,-0.2578167417310964,0.0007179359041155894,7
Brier_ci_lo,WA_clean,-0.14526075096717997,-0.24380343359303755,0.017120719818113438,7
Brier_ci_lo,WB_noise_outliers,-0.1479667293606331,-0.2510308612694493,0.019447138259769372,7
Brier_ci_lo,WC_missingness,-0.15324541080236784,-0.2524818266720927,0.008595799437792742,7
Brier_ci_lo,WD_shift,-0.1391270006374695,-0.23187749603254104,0.02109395834182894,7
Brier_ci_lo,WE_surrogate_corrupt,-0.14285640233065258,-0.2457621553805022,0.027053239450298267,7
Brier_ci_lo,WF_nonlinear,-0.0882745436011807,-0.21490429920710194,0.09774488592513679,7
