fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
1,ExtraTrees,0.6743827160493827,0.9931350114401751,0.9956597222222222,0.9935640732258129,0.8521747218595437,0.9755106209150327,0.8938475769689371,0.985300173305867,0.8068181818181819,0.8953219773643287
1,GaussianNB,0.47222222222222227,0.9999999999978824,0.9972730780022446,0.9942253416499715,0.9306367613980169,0.9607844849805213,,,,
1,GradientBoosting,0.6805555555555556,0.963718820860262,0.9429012345679012,0.9160997732420189,0.7934972686389054,0.9352049617688201,0.8276521249689941,0.994409442204301,0.8957708957708959,0.9059441543147303
1,Logistic_L2,0.5447530864197531,1.0,0.9714506172839507,0.9475920679880764,0.8596469511715137,0.9543178398854323,0.8639154251651788,0.9954922006523073,0.9117965367965368,0.9237347208713409
1,MLP,0.5972222222222222,0.9844961240293593,0.9961770482603816,0.9935987784820915,0.8663637006274424,0.9488721772981569,,,,
1,RandomForest,0.7692901234567902,0.9638916750238222,0.9565972222222222,0.9435807422257785,0.869741416541699,0.977920751633987,0.8668664015146946,0.9955298664499963,0.8831168831168832,0.9151710503605246
1,SVC_RBF,0.662037037037037,1.0,0.9940200617283951,0.9909673659668132,0.8294650173848443,0.9767771998586209,,,,
2,ExtraTrees,0.5455246913580247,0.9620915951382296,0.9992283950617284,0.998585572842772,0.8352171330641742,0.9571466503267974,0.9018655890212689,0.9913164998793897,0.8607954545454546,0.9179925144820378
2,GaussianNB,0.5285493827160495,1.0,0.9927662037037037,0.9863138686122186,0.9361109636114208,0.9666538551068199,,,,
2,GradientBoosting,0.6697530864197531,0.9552050834344727,0.9533179012345679,0.9302995391700511,0.8259339381974751,0.9439086539765269,0.8479566536686752,0.9922152164775115,0.8886483886483887,0.9096067529315253
2,Logistic_L2,0.587962962962963,0.8952902626286919,0.9602623456790124,0.9324146981622068,0.8570926166458743,0.9517691148359226,0.8686453672743788,0.9955414208737883,0.9554865424430642,0.939891110197077
2,MLP,0.595679012345679,0.9853570623997876,0.9924768518518519,0.9873704663204255,0.8838475990048253,0.9579526921172985,,,,
2,RandomForest,0.6682098765432098,0.9364967796523218,0.9790702160493827,0.9686778290986058,0.7895442125091556,0.9430718954248366,0.8664486795600104,0.9949585757336995,0.8030303030303031,0.8881458527746711
2,SVC_RBF,0.6157407407407407,0.8687713071484514,0.9996141975308642,0.9993734335837579,0.7244533592143871,0.9544649938486803,,,,
3,ExtraTrees,0.677133655394525,1.0,0.989098983494364,0.9839012336493324,0.6390326048181363,0.9525104166666667,0.9008940288692333,0.9927874792273954,0.7453379953379953,0.8796731678115414
3,GaussianNB,0.5998389694041868,0.8495869901896008,0.9991775488123994,0.9986288800327259,0.9706915451540696,0.9873708822685547,,,,
3,GradientBoosting,0.782608695652174,0.9194266381754633,0.9528985507246377,0.9398148148137737,0.8907522028666359,0.9742464109951384,0.822956122558756,0.9967313921317227,0.873235460191982,0.8976409916274869
