bin,p_mean,y_mean,count,fold,model,world
0,0.06209885227285698,1.0,1,1,Logistic_L2,WA_clean
1,0.09400741260189455,0.0,4,1,Logistic_L2,WA_clean
2,0.18959968239171493,0.5,2,1,Logistic_L2,WA_clean
3,0.23058389858124523,0.5,4,1,Logistic_L2,WA_clean
4,0.30260352007927754,0.5,6,1,Logistic_L2,WA_clean
5,0.3580255332982268,0.625,8,1,Logistic_L2,WA_clean
6,0.4334716403027563,0.0,4,1,Logistic_L2,WA_clean
7,0.4875960242642006,0.6,5,1,Logistic_L2,WA_clean
8,0.5607261869971639,0.5,4,1,Logistic_L2,WA_clean
9,0.6334110756790321,1.0,1,1,Logistic_L2,WA_clean
10,0.6953077874533249,0.3333333333333333,3,1,Logistic_L2,WA_clean
11,0.7653462741225603,0.5,6,1,Logistic_L2,WA_clean
12,0.8314178715046819,0.0,1,1,Logistic_L2,WA_clean
13,0.8982224931330512,1.0,2,1,Logistic_L2,WA_clean
0,0.06209885227285698,1.0,1,1,Logistic_L2,WI_prevalence_shift
1,0.08096624331355654,0.0,5,1,Logistic_L2,WI_prevalence_shift
2,0.18913922755955473,0.0,1,1,Logistic_L2,WI_prevalence_shift
3,0.22637301709224333,0.6666666666666666,3,1,Logistic_L2,WI_prevalence_shift
4,0.2966731587193155,0.3333333333333333,6,1,Logistic_L2,WI_prevalence_shift
5,0.3549938705624835,0.42857142857142855,7,1,Logistic_L2,WI_prevalence_shift
6,0.44112340031887576,0.0,6,1,Logistic_L2,WI_prevalence_shift
7,0.4875960242642006,0.6,5,1,Logistic_L2,WI_prevalence_shift
8,0.5668141856264398,0.5,4,1,Logistic_L2,WI_prevalence_shift
9,0.6334110756790321,1.0,1,1,Logistic_L2,WI_prevalence_shift
10,0.69337595625707,0.2,5,1,Logistic_L2,WI_prevalence_shift
11,0.7686350506139665,0.5,4,1,Logistic_L2,WI_prevalence_shift
12,0.8314178715046818,0.0,2,1,Logistic_L2,WI_prevalence_shift
13,0.9108887360492544,1.0,1,1,Logistic_L2,WI_prevalence_shift
3,0.221875,0.25,4,1,RandomForest,WA_clean
4,0.3130555555555556,0.16666666666666666,6,1,RandomForest,WA_clean
5,0.3743939393939394,0.36363636363636365,11,1,RandomForest,WA_clean
6,0.42388888888888887,0.2222222222222222,9,1,RandomForest,WA_clean
7,0.5023333333333334,0.7,10,1,RandomForest,WA_clean
8,0.5608333333333333,0.6666666666666666,3,1,RandomForest,WA_clean
9,0.6404166666666666,0.5,2,1,RandomForest,WA_clean
10,0.6910000000000001,1.0,5,1,RandomForest,WA_clean
11,0.7533333333333333,1.0,1,1,RandomForest,WA_clean
3,0.21791666666666665,0.16666666666666666,6,1,RandomForest,WI_prevalence_shift
4,0.3080555555555555,0.0,6,1,RandomForest,WI_prevalence_shift
5,0.3785897435897435,0.3076923076923077,13,1,RandomForest,WI_prevalence_shift
6,0.4214583333333334,0.125,8,1,RandomForest,WI_prevalence_shift
7,0.5044166666666667,0.6,10,1,RandomForest,WI_prevalence_shift
8,0.55125,0.5,2,1,RandomForest,WI_prevalence_shift
9,0.6404166666666666,0.5,2,1,RandomForest,WI_prevalence_shift
10,0.6852777777777778,1.0,3,1,RandomForest,WI_prevalence_shift
11,0.7533333333333333,1.0,1,1,RandomForest,WI_prevalence_shift
0,0.031152435636065373,0.0,5,2,Logistic_L2,WA_clean
1,0.09295914161979868,0.3333333333333333,3,2,Logistic_L2,WA_clean
2,0.17226592818191322,0.6666666666666666,6,2,Logistic_L2,WA_clean
3,0.2199870146808296,0.5,4,2,Logistic_L2,WA_clean
4,0.2940858690843144,0.6666666666666666,3,2,Logistic_L2,WA_clean
5,0.3540420069219501,0.3333333333333333,3,2,Logistic_L2,WA_clean
6,0.42536858154492885,1.0,3,2,Logistic_L2,WA_clean
7,0.4858754950935505,0.3333333333333333,3,2,Logistic_L2,WA_clean
8,0.5741084421236792,0.0,4,2,Logistic_L2,WA_clean
9,0.6302835177430264,0.6,5,2,Logistic_L2,WA_clean
10,0.7008061835843191,0.5,2,2,Logistic_L2,WA_clean
11,0.7582281586633077,0.75,4,2,Logistic_L2,WA_clean
12,0.8368032223866503,0.25,4,2,Logistic_L2,WA_clean
13,0.8855389642139522,1.0,1,2,Logistic_L2,WA_clean
14,0.9469515291985227,1.0,1,2,Logistic_L2,WA_clean
0,0.023343425042857236,0.0,6,2,Logistic_L2,WI_prevalence_shift
1,0.08560088231394818,0.3333333333333333,3,2,Logistic_L2,WI_prevalence_shift
2,0.17568184623243913,0.4,5,2,Logistic_L2,WI_prevalence_shift
3,0.2088296368074975,0.5,2,2,Logistic_L2,WI_prevalence_shift
4,0.28954090390787335,0.5,4,2,Logistic_L2,WI_prevalence_shift
5,0.3618602824293203,0.0,3,2,Logistic_L2,WI_prevalence_shift
6,0.4361869168847614,1.0,2,2,Logistic_L2,WI_prevalence_shift
7,0.4959070452037029,0.3333333333333333,3,2,Logistic_L2,WI_prevalence_shift
8,0.5716090243003845,0.0,6,2,Logistic_L2,WI_prevalence_shift
9,0.6434053507880544,0.42857142857142855,7,2,Logistic_L2,WI_prevalence_shift
10,0.702626890422063,0.3333333333333333,3,2,Logistic_L2,WI_prevalence_shift
11,0.7582281586633077,0.75,4,2,Logistic_L2,WI_prevalence_shift
12,0.8393615354755866,0.5,2,2,Logistic_L2,WI_prevalence_shift
14,0.9469515291985227,1.0,1,2,Logistic_L2,WI_prevalence_shift
1,0.12166666666666667,1.0,1,2,RandomForest,WA_clean
2,0.17541666666666667,0.0,2,2,RandomForest,WA_clean
3,0.2351388888888889,0.3333333333333333,6,2,RandomForest,WA_clean
4,0.29562499999999997,0.0,4,2,RandomForest,WA_clean
5,0.3634259259259259,0.3333333333333333,9,2,RandomForest,WA_clean
6,0.4335,0.2,5,2,RandomForest,WA_clean
7,0.5158333333333334,1.0,1,2,RandomForest,WA_clean
8,0.5606666666666666,0.8,5,2,RandomForest,WA_clean
9,0.6291666666666667,1.0,7,2,RandomForest,WA_clean
10,0.7001851851851852,0.5555555555555556,9,2,RandomForest,WA_clean
11,0.7783333333333333,0.0,1,2,RandomForest,WA_clean
12,0.8041666666666667,0.0,1,2,RandomForest,WA_clean
1,0.12166666666666667,1.0,1,2,RandomForest,WI_prevalence_shift
2,0.17666666666666667,0.0,2,2,RandomForest,WI_prevalence_shift
3,0.24233333333333337,0.2,5,2,RandomForest,WI_prevalence_shift
4,0.295625,0.0,8,2,RandomForest,WI_prevalence_shift
5,0.35874999999999996,0.16666666666666666,6,2,RandomForest,WI_prevalence_shift
6,0.436547619047619,0.14285714285714285,7,2,RandomForest,WI_prevalence_shift
7,0.5158333333333334,1.0,1,2,RandomForest,WI_prevalence_shift
