fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
1,ExtraTrees,0.9596412669500101,0.6235210594848646,0.9926963165351144,0.9923891523664452,0.6146197547462678,0.9618242042021654,0.9395324823062985,0.9964238694467409,0.8333333333333333,0.9230965616954575
1,GaussianNB,0.6245901639344262,0.8483583083077586,0.9950819672131147,0.9921259842507804,0.9512219773211446,0.9589904882480811,,,,
1,GradientBoosting,0.9635600080955272,0.6136107586986643,0.9839246862983202,0.9833167487572352,0.43708509038799,0.9459619734407626,0.8394534685611532,0.9940357763636103,0.8386034255599473,0.8906975568282368
1,Logistic_L2,0.9498836267961951,0.6222079679259048,0.9820927570329893,0.9811479612210339,0.5074410354758638,0.9496213967868663,0.8715815970664986,0.9959999126286734,0.8970449840015058,0.9215421645655594
1,MLP,0.8839101396478447,0.6568971537954359,0.9893752529852256,0.9879798335388534,0.698534467404503,0.9599105234667431,,,,
1,RandomForest,0.9586900425015179,0.6053192441485636,0.9828381147540983,0.9820986090543633,0.623613697598473,0.9647149511019406,0.9239037819886742,0.998175959094945,0.8901515151515151,0.9374104187450447
1,SVC_RBF,0.9370066788099576,0.6313085963179214,0.9057111414693382,0.8993722663205159,0.3626319499648603,0.9311496048965899,,,,
2,ExtraTrees,0.9632340491033633,0.6234415969586835,0.9925574551975691,0.9922733786142359,0.569720870945858,0.9591498453568892,0.940891920523078,0.9970627922336383,0.8324592074592074,0.9234713067386412
2,GaussianNB,0.6050463069858129,0.855653878558726,0.9959215218450961,0.9932592297338527,0.9586095909138221,0.9647095480860193,,,,
2,GradientBoosting,0.9600502834859796,0.6274226477504452,0.966572174050447,0.9651811717309062,0.4860931186672789,0.8641801528707986,0.8429642892663287,0.9950272514262428,0.8946886446886446,0.9108933951270721
2,Logistic_L2,0.9234767438877344,0.6442804178339153,0.9889584776418071,0.9880435295938561,0.45073467625742414,0.9489832331502597,0.8762619013329069,0.9961889373308042,0.8998917748917749,0.9241142045184954
2,MLP,0.8552913107057647,0.6760590629922021,0.995516496061982,0.9947579217956009,0.6927387112633254,0.9560314493145782,,,,
2,RandomForest,0.9672695554016265,0.6251486416468518,0.9727661048256754,0.9718445649168204,0.724182153352441,0.9656380672437264,0.9299468253609919,0.9978526083187316,0.9128787878787878,0.9468927405195039
2,SVC_RBF,0.9164319248826291,0.651171802252544,0.9318751763770236,0.9256629742225511,0.3204219974514989,0.9272936964686349,,,,
3,ExtraTrees,0.9592934657123067,0.6163991424592984,0.989706294105314,0.9892694923260195,0.6142291709282519,0.9610817002944484,0.9440009925433039,0.9964632348760208,0.761030636030636,0.9004982878166535
3,GaussianNB,0.6156648451730419,0.8433310398260737,0.9951275045537341,0.9920857988149567,0.9556394302272899,0.9618116237390255,,,,
3,GradientBoosting,0.9472639113368737,0.627456967305152,0.9821665572042824,0.9811737335469368,0.5726262968147662,0.8974684792439463,0.8431951643124003,0.9954973980610209,0.8809523809523809,0.9065483144419341
3,Logistic_L2,0.9128453782806127,0.6260464118722106,0.9798508716166768,0.9779271179286377,0.5026051337286881,0.9467544110207994,0.8729853683683935,0.9963909484613409,0.8926406926406927,0.9206723364901425
3,MLP,0.8971625747197208,0.6451706203666098,0.9765974343104705,0.9739149109094698,0.6591906306286746,0.9517446071381904,,,,
3,RandomForest,0.9604581954385695,0.6215450130184765,0.983422080930664,0.9827395724782182,0.6058478324311302,0.9628490202991833,0.9389849563803094,0.9978491166835064,0.8674242424242424,0.9347527718293528
3,SVC_RBF,0.9362682470047975,0.6139993574401938,0.9808066522999563,0.9795001616663555,0.40376345429740207,0.9231024627013886,,,,
4,ExtraTrees,0.9492402615808229,0.6291603222760596,0.994652474084872,0.994366520119109,0.6594407750375324,0.9608943414284445,0.943324231555426,0.9956374356484581,0.9090909090909092,0.9493508587649311
4,GaussianNB,0.603812358276644,0.8756274797318784,0.9955610220278588,0.9926484148394159,0.9544495822816985,0.9609257853307741,,,,
