model,world,severity,AUROC_mean,AUROC_ci_lo,AUROC_ci_hi,Brier_mean,Brier_ci_lo,Brier_ci_hi,LogLoss_mean,LogLoss_ci_lo,LogLoss_ci_hi,ECE_mean,ECE_ci_lo,ECE_ci_hi,aECE_mean,aECE_ci_lo,aECE_ci_hi,Brier_REL_mean,Brier_REL_ci_lo,Brier_REL_ci_hi,Brier_RES_mean,Brier_RES_ci_lo,Brier_RES_ci_hi,Brier_UNC_mean,Brier_UNC_ci_lo,Brier_UNC_ci_hi
ExtraTrees,WA_clean,0,0.956442468,0.952407344,0.96069438,0.018307775,0.017999853,0.018575869,0.067704279,0.066496888,0.068891844,0.0118133,0.010707321,0.012852415,0.012751093,0.011869234,0.013638086,0.000956714,0.000800012,0.001122333,0.004948917,0.004644619,0.005265651,0.024777895,0.024688581,0.024866061
ExtraTrees,WB_noise_outliers,1,0.951519631,0.947014454,0.956437796,0.018484123,0.018169504,0.018765281,0.070278368,0.068902375,0.071546785,0.012735983,0.011848074,0.01362564,0.013362024,0.012427469,0.014318545,0.000811805,0.000684053,0.000936026,0.004751891,0.004476102,0.005045064,0.024777895,0.024689155,0.024866061
ExtraTrees,WC_missingness,2,0.949255709,0.944407013,0.954191074,0.019284202,0.019030629,0.01951319,0.071463361,0.070066221,0.072810075,0.010066695,0.009012979,0.011201954,0.013274877,0.012647438,0.013951936,0.001176292,0.001023435,0.001326891,0.004561044,0.004305368,0.004836105,0.024777895,0.024689141,0.024846907
ExtraTrees,WD_shift,3,0.952490662,0.948357987,0.956729044,0.018445736,0.01814022,0.018707798,0.072592131,0.071327182,0.073792593,0.01715979,0.016081189,0.01829973,0.015684411,0.014895081,0.016556764,0.000634096,0.000534619,0.000740149,0.004626832,0.004391241,0.004869624,0.024777895,0.024689155,0.024865487
ExtraTrees,WE_surrogate_corrupt,4,0.955220156,0.950786995,0.959481377,0.018474194,0.018153769,0.018725223,0.068882707,0.067560876,0.070161923,0.012563079,0.011517061,0.013508593,0.013287695,0.012377676,0.014179307,0.000952976,0.000773922,0.001140064,0.004870372,0.004590971,0.005176511,0.024777895,0.024688581,0.024845885
ExtraTrees,WF_nonlinear,5,0.918290011,0.913467409,0.923010324,0.024348464,0.023968234,0.024747865,0.116071404,0.11299995,0.119138903,0.04898212,0.044891371,0.053161199,0.048074896,0.043854423,0.052218354,0.003060428,0.002554558,0.003569699,0.003234969,0.002980596,0.003499311,0.024777895,0.024688581,0.02484646
ExtraTrees,WH_subgroup_shift,6,0.950487628,0.94580822,0.95522739,0.018442967,0.018141815,0.018719536,0.071176128,0.069903462,0.072520035,0.014800863,0.013928894,0.015814878,0.013551128,0.012285381,0.014793185,0.000607575,0.000480783,0.000736606,0.004546745,0.004231351,0.004875515,0.024777895,0.024688581,0.024865487
ExtraTrees,WI_prevalence_shift,7,0.956317942,0.952141035,0.960725115,0.235100878,0.230449253,0.239296889,0.70975904,0.691137675,0.726116473,0.270115253,0.267057603,0.273008461,0.272238168,0.269340995,0.275112942,0.158469082,0.154705255,0.162591572,0.151191114,0.147456642,0.154976915,0.22753514,0.227527686,0.227542593
ExtraTrees,WJ_concept_drift,8,0.958741224,0.954504597,0.963283453,0.018181368,0.01784739,0.018460323,0.066968599,0.065435957,0.068314108,0.012677381,0.011684074,0.013597205,0.013153459,0.0121911,0.014056535,0.001009294,0.000847523,0.001187565,0.005080853,0.00478036,0.005405496,0.024777895,0.024689155,0.02484646
ExtraTrees,WG_label_noise,9,0.582951866,0.575171719,0.591378148,0.109690334,0.106639887,0.112540888,0.775936498,0.750076054,0.803059517,0.097912573,0.094737994,0.101019791,0.097647711,0.094276538,0.100793317,0.010321742,0.009613827,0.010967168,0.003628193,0.003178566,0.004083136,0.104892686,0.102427612,0.107248843
