bin,p_mean,y_mean,count,fold,model,world
0,0.008311432294709382,0.006458966565349544,2632,1,Logistic_L2,WA_clean
1,0.09457053640503423,0.07792207792207792,77,1,Logistic_L2,WA_clean
2,0.16353351989557874,0.23529411764705882,34,1,Logistic_L2,WA_clean
3,0.223155207348302,0.29411764705882354,17,1,Logistic_L2,WA_clean
4,0.292507802376287,0.6666666666666666,12,1,Logistic_L2,WA_clean
5,0.3763681059877179,0.42857142857142855,7,1,Logistic_L2,WA_clean
6,0.4279007426395214,0.5555555555555556,9,1,Logistic_L2,WA_clean
7,0.4903759208239624,0.75,4,1,Logistic_L2,WA_clean
8,0.5617219695547492,0.3333333333333333,3,1,Logistic_L2,WA_clean
9,0.6357378934768646,0.6666666666666666,3,1,Logistic_L2,WA_clean
10,0.7041234984353593,1.0,2,1,Logistic_L2,WA_clean
11,0.7740025758623942,0.6666666666666666,3,1,Logistic_L2,WA_clean
12,0.8479505595921393,0.5,4,1,Logistic_L2,WA_clean
13,0.917292204148886,0.6666666666666666,3,1,Logistic_L2,WA_clean
14,0.9733410116593745,0.8571428571428571,7,1,Logistic_L2,WA_clean
0,0.010305004632535038,0.1071245515120451,1951,1,Logistic_L2,WI_prevalence_shift
1,0.09441355872424106,0.6554621848739496,119,1,Logistic_L2,WI_prevalence_shift
2,0.1646240230508706,0.8412698412698413,126,1,Logistic_L2,WI_prevalence_shift
3,0.2211449386161452,0.8717948717948718,78,1,Logistic_L2,WI_prevalence_shift
4,0.29337212256113965,0.9763779527559056,127,1,Logistic_L2,WI_prevalence_shift
5,0.36780971024857445,0.9245283018867925,53,1,Logistic_L2,WI_prevalence_shift
6,0.43208579119934015,0.9365079365079365,63,1,Logistic_L2,WI_prevalence_shift
7,0.4941274467616452,1.0,41,1,Logistic_L2,WI_prevalence_shift
8,0.5653420322046373,0.8947368421052632,19,1,Logistic_L2,WI_prevalence_shift
9,0.6333886030497328,1.0,29,1,Logistic_L2,WI_prevalence_shift
10,0.7088170613204132,1.0,37,1,Logistic_L2,WI_prevalence_shift
11,0.7733185858970704,0.9565217391304348,23,1,Logistic_L2,WI_prevalence_shift
12,0.8415404371637022,0.9259259259259259,27,1,Logistic_L2,WI_prevalence_shift
13,0.9206398508748166,0.9666666666666667,30,1,Logistic_L2,WI_prevalence_shift
14,0.980203197807617,0.9893617021276596,94,1,Logistic_L2,WI_prevalence_shift
0,0.008911806088513686,0.0049884881043745204,2606,1,RandomForest,WA_clean
1,0.09174778761061948,0.13274336283185842,113,1,RandomForest,WA_clean
2,0.16653703703703704,0.35555555555555557,45,1,RandomForest,WA_clean
3,0.23046296296296298,0.3333333333333333,18,1,RandomForest,WA_clean
4,0.3018888888888889,0.5333333333333333,15,1,RandomForest,WA_clean
5,0.34847222222222224,0.6666666666666666,6,1,RandomForest,WA_clean
6,0.4165,0.4,5,1,RandomForest,WA_clean
7,0.4916666666666667,0.5,2,1,RandomForest,WA_clean
8,0.5516666666666667,1.0,2,1,RandomForest,WA_clean
10,0.68875,1.0,2,1,RandomForest,WA_clean
11,0.7545833333333334,1.0,2,1,RandomForest,WA_clean
12,0.8108333333333333,1.0,1,1,RandomForest,WA_clean
0,0.010821358878836262,0.08142629058009579,1879,1,RandomForest,WI_prevalence_shift
1,0.09591796875,0.765625,256,1,RandomForest,WI_prevalence_shift
2,0.1720170068027211,0.9020408163265307,245,1,RandomForest,WI_prevalence_shift
3,0.2439804964539007,0.8829787234042553,94,1,RandomForest,WI_prevalence_shift
4,0.29893361581920896,0.9661016949152542,118,1,RandomForest,WI_prevalence_shift
5,0.3508333333333333,0.9692307692307692,65,1,RandomForest,WI_prevalence_shift
6,0.4109848484848485,0.9090909090909091,33,1,RandomForest,WI_prevalence_shift
7,0.5091666666666668,0.9375,16,1,RandomForest,WI_prevalence_shift
8,0.55125,1.0,32,1,RandomForest,WI_prevalence_shift
10,0.6880128205128206,1.0,26,1,RandomForest,WI_prevalence_shift
