fold,model,n_test,pi_test,pi_ref,target_sens_train,thr_from_train_inner_oof,TP,FP,TN,FN,sens_test,spec_test,ppv_observed_test,ppv_standardized_pi_ref
1,Logistic_L2,51,0.47058823529411764,0.025424330658333924,0.8,0.4118784750821818,17,22,5,7,0.7083333333333334,0.18518518518518517,0.4358974358974359,0.022175510987351522
1,RandomForest,51,0.47058823529411764,0.025424330658333924,0.8,0.42072728194526904,18,9,18,6,0.75,0.6666666666666666,0.6666666666666666,0.055442750456000264
1,ExtraTrees,51,0.47058823529411764,0.025424330658333924,0.8,0.4285265340268186,16,17,10,8,0.6666666666666666,0.37037037037037035,0.48484848484848486,0.026879679646276092
1,GradientBoosting,51,0.47058823529411764,0.025424330658333924,0.8,0.387965006240016,19,15,12,5,0.7916666666666666,0.4444444444444444,0.5588235294117647,0.0358423820447336
1,SVC_RBF,51,0.47058823529411764,0.025424330658333924,0.8,0.44654416224163107,16,13,14,8,0.6666666666666666,0.5185185185185185,0.5517241379310345,0.03486201803692863
1,MLP,51,0.47058823529411764,0.025424330658333924,0.8,0.4176067713853198,15,19,8,9,0.625,0.2962962962962963,0.4411764705882353,0.022645211894148042
1,GaussianNB,51,0.47058823529411764,0.025424330658333924,0.8,0.4382310296530721,18,25,2,6,0.75,0.07407407407407407,0.4186046511627907,0.020693671153459152
2,Logistic_L2,51,0.47058823529411764,0.025424330658333924,0.8,0.43411383223725264,21,23,4,3,0.875,0.14814814814814814,0.4772727272727273,0.026097179227475356
2,RandomForest,51,0.47058823529411764,0.025424330658333924,0.8,0.44650728783071125,18,8,19,6,0.75,0.7037037037037037,0.6923076923076923,0.061943802415547686
2,ExtraTrees,51,0.47058823529411764,0.025424330658333924,0.8,0.41631108975829895,19,17,10,5,0.7916666666666666,0.37037037037037035,0.5277777777777778,0.03175955333880488
2,GradientBoosting,51,0.47058823529411764,0.025424330658333924,0.8,0.3863296299982003,18,12,15,6,0.75,0.5555555555555556,0.6,0.04216651980072764
2,SVC_RBF,51,0.47058823529411764,0.025424330658333924,0.8,0.4168379160052106,20,22,5,4,0.8333333333333334,0.18518518518518517,0.47619047619047616,0.02598714031765286
2,MLP,51,0.47058823529411764,0.025424330658333924,0.8,0.4004965321263792,18,21,6,6,0.75,0.2222222222222222,0.46153846153846156,0.02453860018786017
2,GaussianNB,51,0.47058823529411764,0.025424330658333924,0.8,0.4281787290312453,24,27,0,0,1.0,0.0,0.47058823529411764,0.025424330658333924
3,Logistic_L2,50,0.46,0.025424330658333924,0.8,0.4251645031248677,18,21,6,5,0.782608695652174,0.2222222222222222,0.46153846153846156,0.025578206570612404
